Time,Seconds,NaiveLat,NaiveLng,NaiveAcc,NaiveSpeed,NewLat,NewLng,NewAcc,NewSpeed
12/10/2012 2:52:43 PM -08:00,672,47.64453638,-122.1404067,3.994431776,3.30828859508562,47.6445520764517,-122.140403896459,3.76659031498439,3.27438751907793
12/10/2012 2:52:44 PM -08:00,673,47.6445218,-122.1404058,3.994431776,3.29266010622431,47.6445368456407,-122.140404875193,3.74164136927856,3.26763993232113
12/10/2012 2:52:45 PM -08:00,674,47.64450851,-122.1404058,5.692941186,3.76511581608336,47.6445282314186,-122.140404278588,4.37505385049164,3.05976178347065
12/10/2012 2:52:46 PM -08:00,675,47.64449443,-122.1404038,5.692941186,4.21946726952252,47.6445182889936,-122.140404882451,4.60688382642774,3.40772544645929
12/10/2012 2:52:47 PM -08:00,676,47.64447796,-122.1404015,5.692941186,4.54293467830523,47.6445027833127,-122.140401977775,4.85259363103516,3.65000411373641
12/10/2012 2:52:48 PM -08:00,677,47.64446237,-122.1403982,5.692941186,4.43259264900038,47.6444869426781,-122.140395041768,4.78042881821269,3.90428220672412
12/10/2012 2:52:49 PM -08:00,678,47.64444808,-122.1403968,3.994431776,3.71654139905318,47.6444631458529,-122.140395742579,3.77321352372738,4.11672297385566
12/10/2012 2:52:50 PM -08:00,679,47.64443291,-122.1403947,3.994431776,3.24227774540081,47.6444480425867,-122.140393937649,3.7522039793739,3.46719530138406
12/10/2012 2:52:51 PM -08:00,680,47.64442184,-122.1403937,3.994431776,3.01898482868787,47.6444349740834,-122.14039470245,3.64942123830097,3.07574112527725
12/10/2012 2:52:52 PM -08:00,681,47.64441112,-122.1403925,3.994431776,3.14536302279806,47.6444236384415,-122.140393603564,3.58277842070063,3.07057443694952
12/10/2012 2:52:53 PM -08:00,682,47.64439917,-122.1403892,3.994431776,3.20809125601068,47.6444133078635,-122.140392667753,3.94492488621312,3.04260790341627
12/10/2012 2:52:54 PM -08:00,683,47.64438425,-122.1403888,3.994431776,3.23228372265841,47.6443995649064,-122.140392342491,3.66401010308517,3.07851432646676
12/10/2012 2:52:55 PM -08:00,684,47.64437042,-122.140388,3.994431776,3.2280537301185,47.6443847045176,-122.140390462053,3.8315773455509,3.00377772207898
12/10/2012 2:52:56 PM -08:00,685,47.64435944,-122.140392,3.994431776,3.16900481081492,47.6443732418275,-122.140390536961,3.66715117762826,2.97359977863987
12/10/2012 2:52:57 PM -08:00,686,47.64434523,-122.1404002,3.994431776,3.3286193512895,47.6443601962655,-122.140396127853,3.7123099987229,2.95856978731486
